feature,importance
V70,873445.0586547852
C14,856468.2581291199
V258,737516.1045606136
V294,599749.2972335815
V91,591080.8724365234
C1,537451.923368454
V264,426363.58699798584
V308,391364.341758728
V90,360217.7398071289
V69,333873.57537841797
C11,289903.5479888916
C13,284799.8360233307
D2,244773.41415023804
C5,243787.45133972168
card6_credit,218227.90798950195
TransactionAmt,215023.93363952637
V283,175794.5659790039
D3,175105.76015472412
TransactionID,174525.2524986267
C2,170453.2219991684
R_emaildomain,168327.99432373047
card6_debit,165926.94411468506
C4,164334.0704345703
C8,157880.74365234375
V317,128533.518699646
TransactionDT,122485.82310295105
D1,122022.27481842041
card1_freq,119768.2762184143
D15,114059.38804626465
V312,112618.99627685547
V257,107514.1365890503
V201,99508.44952011108
V49,95212.9935913086
card_combo,93759.93492126465
V314,81702.4450378418
M4_Unknown,79278.43426513672
ProductCD_R,72665.13592529297
D10,67298.26289367676
id_17,64674.02207946777
log_transaction_amt,63642.41864013672
V280,63575.4953918457
C10,62832.15148925781
C6,60660.21282196045
card2,52162.689796447754
V307,49713.44004821777
C9,49155.807876586914
V243,43940.377610206604
card2_freq,43819.69036102295
V282,43086.050201416016
V246,40863.707443237305
V315,40196.66372680664
addr1_freq,38910.300048828125
D11,38733.596099853516
D4,37893.64582824707
card3_freq,37622.64424133301
C7,36989.75930213928
V128,34692.11883544922
P_emaildomain_freq,33891.12778091431
V30,33368.07763671875
addr_mismatch,32672.48989868164
is_high_amt,31838.136947631836
id_01,30475.957122802734
V281,30369.957000732422
V310,30264.861450195312
D5,30224.25132751465
V133,29993.1632976532
V285,28469.071144104004
V102,26437.699951171875
V187,25665.30722808838
V309,25461.641860961914
V311,25407.491676330566
M5_T,25314.697982788086
C12,25229.381881713867
card5,24547.356719970703
D8,23148.827102661133
email_domain_match,23124.05712890625
has_R_email,22273.50180053711
card3,20808.291984558105
M6_T,20571.820709228516
M4_M2,20389.679931640625
card1,20177.35280227661
ProductCD_W,20146.786193847656
id_06,20092.726806640625
V131,18687.157348632812
id_34_match_status_2,17252.369873046875
R_emaildomain_freq,16165.463923454285
V129,15984.749572753906
identity_feature_count,15234.44633102417
V29,14306.0
V296,13995.00375366211
D_feature_count,13021.901557922363
V126,12450.153106689453
card5_freq,11947.389198303223
V62,11608.865936279297
is_morning_peak,11442.7900390625
P_emaildomain,11271.15267777443
V287,11076.070434570312
V53,11067.000076293945
M5_Unknown,10736.30696105957
V306,9551.902114868164
V313,9214.312896728516
V48,8756.045867919922
V45,8612.565048217773
V265,8599.447677612305
DeviceInfo_freq,8369.38900756836
id_20,7534.470947265625
V165,7154.825134277344
V279,7074.727188110352
id_33,7019.971923828125
V12,6893.295013427734
id_35_T,6814.31005859375
card4_mastercard,6404.623992919922
V75,6383.0760498046875
V36,6148.5660400390625
DeviceType_mobile,5677.0640869140625
V82,5596.06379699707
id_30,5475.7490234375
V97,5049.10986328125
DeviceType_freq,4935.899017333984
V318,4745.14013671875
M3_T,4689.204971313477
V54,4634.276287078857
V35,4393.269012451172
V38,4297.118988037109
D6,4293.678489685059
V324,3912.8779907226562
V95,3897.8539428710938
DeviceInfo,3856.5130004882812
V232,3835.0120544433594
V219,3805.9869995117188
V159,3654.280029296875
V286,3637.305908203125
addr1,3492.8509674072266
V130,3362.104804992676
